_id,validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude,events_json
6862,t,Faith Global Methodist Church,Church,"305 Freeport Street, Delmont, Pennsylvania 15626, United States",https://faithdelmont.org/,"Friday Feb 20 from 4:00 PM to 7:00 PM, Friday Feb 27 from 4:00 PM to 7:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 4:00 PM to 7:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM",,,,,,,,t,,f,,t,,40.420488,-79.57016,"[{""dt_start"": ""2026-02-20T16:00:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T16:00:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T16:00:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T16:00:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T16:00:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T16:00:00"", ""dt_end"": ""2026-03-27T19:00:00""}]"
6863,t,Geeseytown Community Fire Company,Fire Department,"215 Mary Street, Hollidaysburg, Pennsylvania 16648, United States",https://www.facebook.com/profile.php?id=100064521233383,"Friday Feb 20 from 3:00 PM to 7:00 PM, Friday Feb 27 from 3:00 PM to 7:00 PM, Friday Mar 6 from 3:00 PM to 7:00 PM, Friday Mar 13 from 3:00 PM to 7:00 PM, Friday Mar 20 from 3:00 PM to 7:00 PM, Friday Mar 27 from 3:00 PM to 7:00 PM, Friday Apr 3 from 3:00 PM to 7:00 PM",,,,,,,f,t,,f,,t,,40.450352,-78.345659,"[{""dt_start"": ""2026-02-20T15:00:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T15:00:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T15:00:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T15:00:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T15:00:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T15:00:00"", ""dt_end"": ""2026-03-27T19:00:00""}, {""dt_start"": ""2026-04-03T15:00:00"", ""dt_end"": ""2026-04-03T19:00:00""}]"
6864,t,Lone Pine VFD Station 50,Fire Department,"328 Weaver Run Road, Washington, Pennsylvania 15301, United States",https://www.facebook.com/Lone-Pine-Volunteer-Fire-Department-156883607677710/,"Friday Feb 20 from 11:00 AM to 7:00 PM, Friday Feb 27 from 11:00 AM to 7:00 PM, Friday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 13 from 11:00 AM to 7:00 PM, Friday Mar 20 from 11:00 AM to 7:00 PM, Friday Mar 27 from 11:00 AM to 7:00 PM, Friday Apr 3 from 11:00 AM to 7:00 PM",,https://www.facebook.com/photo?fbid=1378034344368166&set=a.476559167849026,,Social Hall.  Cash only but ATM on site,724-267-4040,,t,t,,t,,t,,40.079409,-80.181409,"[{""dt_start"": ""2026-02-20T11:00:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T11:00:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T11:00:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T11:00:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T11:00:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T11:00:00"", ""dt_end"": ""2026-03-27T19:00:00""}, {""dt_start"": ""2026-04-03T11:00:00"", ""dt_end"": ""2026-04-03T19:00:00""}]"
6865,t,Logans Ferry Heights ,Fire Department,"1001 Summit Ave., New Kensington, PA 15068",http://www.lfhvfd.com/,"Friday Feb 20 from 4:00 PM to 8:00 PM, Friday Feb 27 from 4:00 PM to 8:00 PM, Friday Mar 6 from 4:00 PM to 8:00 PM, Friday Mar 13 from 4:00 PM to 8:00 PM, Friday Mar 20 from 4:00 PM to 8:00 PM, Friday Mar 27 from 4:00 PM to 8:00 PM, Friday Apr 3 from 11:30 AM to 8:00 PM",,https://www.lfhvfd.com/events,,,724-339-2210,,,t,,f,,t,,40.546165,-79.749766,"[{""dt_start"": ""2026-02-20T16:00:00"", ""dt_end"": ""2026-02-20T20:00:00""}, {""dt_start"": ""2026-02-27T16:00:00"", ""dt_end"": ""2026-02-27T20:00:00""}, {""dt_start"": ""2026-03-06T16:00:00"", ""dt_end"": ""2026-03-06T20:00:00""}, {""dt_start"": ""2026-03-13T16:00:00"", ""dt_end"": ""2026-03-13T20:00:00""}, {""dt_start"": ""2026-03-20T16:00:00"", ""dt_end"": ""2026-03-20T20:00:00""}, {""dt_start"": ""2026-03-27T16:00:00"", ""dt_end"": ""2026-03-27T20:00:00""}, {""dt_start"": ""2026-04-03T11:30:00"", ""dt_end"": ""2026-04-03T20:00:00""}]"
6866,t,Nox's Tavern,Restaurant,"720 Blaw Avenue, Pittsburgh, Pennsylvania 15238, United States",https://www.noxstavern.com/,"Friday Feb 20 from 11:00 AM to 10:00 PM, Friday Feb 27 from 11:00 AM to 10:00 PM, Friday Mar 6 from 11:00 AM to 10:00 PM, Friday Mar 13 from 11:00 AM to 10:00 PM, Friday Mar 27 from 11:00 AM to 10:00 PM, Friday Apr 3 from 11:00 AM to 10:00 PM, Wednesday Feb 18 from 11:00 AM to 10:00 PM",,https://www.facebook.com/photo/?fbid=1513695910762885&set=pb.100063674705185.-2207520000,"APPETIZERS
HUSH PUPPIES SERVED WITH HONEY OR COCKTAIL
$10
CRAB RANGOON EGGROLLS SERVED WITH THAI CHILI
$13
CROWD FAVORITES
CAPTAIN RAY SHRIMP
LIGHTLY BREADED SHRIMP FRIED TO PERFECTION TOSSED IN YOUR FAV SAUCE SERVED WITH CELERY AND CARROTS
$16
GEORGIE PLATTER
HAND BREADED POTATO CRUSTED COD DEEP FRIED TO PERFECTION SERVED WITH FRIES AND SLAW
$18
ADD A BUN $1.25
PIEROGIE PLATE
CHEESE FILLED PIEROGIES SMOTHERED IN ONIONS AND SERVED WITH SOURCREAM $12
CHEF FEATURE
S M.P.
ASK YOUR SERVER ABOUT THE CATCH OF THE DAY
EXTRAS
SEAFOOD SOUP FEATURE HOMEMADE MAC AND CHEESE COMPLETE WITH OUR WARM, GOOEY MAC AND CHELSE OR HOUSEMADE SLAW
FEATURED DRINK
CAPT RAY SHOOTER VODKA TOPPED WITH ZING ZANG CELERY SALT RIM GARNISHED WITH CAPT RAY SHRIMP",,(412) 794-8233,,,t,t,t,,t,,40.49249,-79.862635,"[{""dt_start"": ""2026-02-20T11:00:00"", ""dt_end"": ""2026-02-20T22:00:00""}, {""dt_start"": ""2026-02-27T11:00:00"", ""dt_end"": ""2026-02-27T22:00:00""}, {""dt_start"": ""2026-03-06T11:00:00"", ""dt_end"": ""2026-03-06T22:00:00""}, {""dt_start"": ""2026-03-13T11:00:00"", ""dt_end"": ""2026-03-13T22:00:00""}, {""dt_start"": ""2026-03-27T11:00:00"", ""dt_end"": ""2026-03-27T22:00:00""}, {""dt_start"": ""2026-04-03T11:00:00"", ""dt_end"": ""2026-04-03T22:00:00""}, {""dt_start"": ""2026-02-18T11:00:00"", ""dt_end"": ""2026-02-18T22:00:00""}]"
6867,t,"St. Nicholas Serbian Orthodox Church, Johnstown",Church,"971 Saint Clair Road, Johnstown, Pennsylvania 15905, United States",https://stnicholasjohnstown.org/,"Friday Feb 20 from 3:00 PM to 6:30 PM, Friday Feb 27 from 3:00 PM to 6:30 PM, Friday Mar 6 from 3:00 PM to 6:30 PM, Friday Mar 13 from 3:00 PM to 6:30 PM, Friday Mar 20 from 3:00 PM to 6:30 PM, Friday Mar 27 from 3:00 PM to 6:30 PM, Friday Apr 3 from 4:00 PM to 7:00 PM",,,TBD,,814-255-3008,stnicholasjtown@gmail.com,,,,,,t,,40.31946,-78.9734,"[{""dt_start"": ""2026-02-20T15:00:00"", ""dt_end"": ""2026-02-20T18:30:00""}, {""dt_start"": ""2026-02-27T15:00:00"", ""dt_end"": ""2026-02-27T18:30:00""}, {""dt_start"": ""2026-03-06T15:00:00"", ""dt_end"": ""2026-03-06T18:30:00""}, {""dt_start"": ""2026-03-13T15:00:00"", ""dt_end"": ""2026-03-13T18:30:00""}, {""dt_start"": ""2026-03-20T15:00:00"", ""dt_end"": ""2026-03-20T18:30:00""}, {""dt_start"": ""2026-03-27T15:00:00"", ""dt_end"": ""2026-03-27T18:30:00""}, {""dt_start"": ""2026-04-03T16:00:00"", ""dt_end"": ""2026-04-03T19:00:00""}]"
6868,t,Holy Trinity Cathedral at American Serbian Club,Church,"2524 Sarah Street, Pittsburgh, Pennsylvania 15203, United States",https://www.facebook.com/profile.php?id=100063591845843,"Friday Feb 20 from 11:00 AM to 2:00 PM, Friday Feb 20 from 4:00 PM to 7:00 PM, Friday Feb 27 from 11:00 AM to 2:00 PM, Friday Feb 27 from 4:00 PM to 7:00 PM, Friday Mar 6 from 11:00 AM to 2:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 11:00 AM to 2:00 PM, Friday Mar 13 from 4:00 PM to 7:00 PM, Friday Mar 20 from 11:00 AM to 2:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM, Friday Mar 27 from 11:00 AM to 2:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM, Friday Apr 3 from 11:00 AM to 2:00 PM, Friday Apr 3 from 4:00 PM to 7:00 PM",,,"ENTREES
Fried fish dinner with 2 sides .......................................................................... $17
Baked fish dinner with 2 sides ......................................................................... $17
Shrimp dinner with 2 sides .............................................................................. $17
Fish sandwich only .......................................................................................... $13
SIDES
French fries ....................................................................................................... $4
Halushki ............................................................................................................ $4
Macaroni and cheese ........................................................................................ $4
Pierogi (3) .......................................................................................................... $4
Coleslaw ............................................................................................................ $4
BAKERY
Apple strudel ..................................................................................................... $5
Assorted homemade desserts ........................................................................... $4
Accepting cash, check or major credit card!
TAKE OUT ORDERS: call 412-431-9351","Held at American Serbian Club, benefits Holy Trinity Cathedral",412-431-9351,,,t,t,t,t,t,,40.426468,-79.9693,"[{""dt_start"": ""2026-02-20T11:00:00"", ""dt_end"": ""2026-02-20T14:00:00""}, {""dt_start"": ""2026-02-20T16:00:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T11:00:00"", ""dt_end"": ""2026-02-27T14:00:00""}, {""dt_start"": ""2026-02-27T16:00:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T11:00:00"", ""dt_end"": ""2026-03-06T14:00:00""}, {""dt_start"": ""2026-03-06T16:00:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T11:00:00"", ""dt_end"": ""2026-03-13T14:00:00""}, {""dt_start"": ""2026-03-13T16:00:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T11:00:00"", ""dt_end"": ""2026-03-20T14:00:00""}, {""dt_start"": ""2026-03-20T16:00:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T11:00:00"", ""dt_end"": ""2026-03-27T14:00:00""}, {""dt_start"": ""2026-03-27T16:00:00"", ""dt_end"": ""2026-03-27T19:00:00""}, {""dt_start"": ""2026-04-03T11:00:00"", ""dt_end"": ""2026-04-03T14:00:00""}, {""dt_start"": ""2026-04-03T16:00:00"", ""dt_end"": ""2026-04-03T19:00:00""}]"
6869,t,"Mary, Queen of Peace Parish",Church,"81 South 13th Street, Pittsburgh, Pennsylvania 15203, United States",https://mqpeace.org/fish-fry,"Friday Feb 20 from 3:30 PM to 7:30 PM, Friday Feb 27 from 3:30 PM to 7:30 PM, Friday Mar 6 from 3:30 PM to 7:30 PM, Friday Mar 13 from 3:30 PM to 7:30 PM, Friday Mar 20 from 3:30 PM to 7:30 PM, Friday Mar 27 from 3:30 PM to 7:30 PM",,https://smomff.square.site/,,,412-481-9390,,f,t,f,f,,t,,40.428205,-79.984845,"[{""dt_start"": ""2026-02-20T15:30:00"", ""dt_end"": ""2026-02-20T19:30:00""}, {""dt_start"": ""2026-02-27T15:30:00"", ""dt_end"": ""2026-02-27T19:30:00""}, {""dt_start"": ""2026-03-06T15:30:00"", ""dt_end"": ""2026-03-06T19:30:00""}, {""dt_start"": ""2026-03-13T15:30:00"", ""dt_end"": ""2026-03-13T19:30:00""}, {""dt_start"": ""2026-03-20T15:30:00"", ""dt_end"": ""2026-03-20T19:30:00""}, {""dt_start"": ""2026-03-27T15:30:00"", ""dt_end"": ""2026-03-27T19:30:00""}]"
6870,t,Richeyville VFC,Fire Department,"14 Firehall Road, Richeyville, PA 15358",http://rvfc27.com,"Wednesday Feb 18 from 11:00 AM to 6:00 PM, Friday Feb 20 from 11:00 AM to 6:00 PM, Friday Feb 27 from 11:00 AM to 6:00 PM, Friday Mar 6 from 11:00 AM to 6:00 PM, Friday Mar 13 from 11:00 AM to 6:00 PM, Friday Mar 20 from 11:00 AM to 6:00 PM, Friday Mar 27 from 11:00 AM to 6:00 PM, Friday Apr 3 from 11:00 AM to 6:00 PM",,,,,724-632-6390,,,t,,t,,t,,40.05341,-80.002,"[{""dt_start"": ""2026-02-18T11:00:00"", ""dt_end"": ""2026-02-18T18:00:00""}, {""dt_start"": ""2026-02-20T11:00:00"", ""dt_end"": ""2026-02-20T18:00:00""}, {""dt_start"": ""2026-02-27T11:00:00"", ""dt_end"": ""2026-02-27T18:00:00""}, {""dt_start"": ""2026-03-06T11:00:00"", ""dt_end"": ""2026-03-06T18:00:00""}, {""dt_start"": ""2026-03-13T11:00:00"", ""dt_end"": ""2026-03-13T18:00:00""}, {""dt_start"": ""2026-03-20T11:00:00"", ""dt_end"": ""2026-03-20T18:00:00""}, {""dt_start"": ""2026-03-27T11:00:00"", ""dt_end"": ""2026-03-27T18:00:00""}, {""dt_start"": ""2026-04-03T11:00:00"", ""dt_end"": ""2026-04-03T18:00:00""}]"
6871,t,Mandy's Pizza,Restaurant,"512 Perry Highway, West View, Pennsylvania 15229, United States",https://mandyspizza.com/,"Wednesday Feb 18 from 11:00 AM to 8:00 PM, Friday Feb 20 from 11:00 AM to 8:00 PM, Friday Feb 27 from 11:00 AM to 8:00 PM, Friday Mar 6 from 11:00 AM to 8:00 PM, Friday Mar 13 from 11:00 AM to 8:00 PM, Friday Mar 20 from 11:00 AM to 8:00 PM, Friday Mar 27 from 11:00 AM to 8:00 PM, Friday Apr 3 from 11:00 AM to 8:00 PM",,https://mandyspizza.com/gluten-free,,,,,f,t,,t,,t,,40.52195,-80.033963,"[{""dt_start"": ""2026-02-18T11:00:00"", ""dt_end"": ""2026-02-18T20:00:00""}, {""dt_start"": ""2026-02-20T11:00:00"", ""dt_end"": ""2026-02-20T20:00:00""}, {""dt_start"": ""2026-02-27T11:00:00"", ""dt_end"": ""2026-02-27T20:00:00""}, {""dt_start"": ""2026-03-06T11:00:00"", ""dt_end"": ""2026-03-06T20:00:00""}, {""dt_start"": ""2026-03-13T11:00:00"", ""dt_end"": ""2026-03-13T20:00:00""}, {""dt_start"": ""2026-03-20T11:00:00"", ""dt_end"": ""2026-03-20T20:00:00""}, {""dt_start"": ""2026-03-27T11:00:00"", ""dt_end"": ""2026-03-27T20:00:00""}, {""dt_start"": ""2026-04-03T11:00:00"", ""dt_end"": ""2026-04-03T20:00:00""}]"
6872,t,Warriors Mark Franklin Volunteer Fire Company,Fire Department,"4571 Firehouse Road, Warriors Mark, Pennsylvania 16877, United States",https://www.facebook.com/p/Warriors-Mark-Franklin-Volunteer-Fire-Company-100076239874936/,"Friday Feb 20 from 4:00 PM to 7:00 PM, Friday Feb 27 from 4:00 PM to 7:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 4:00 PM to 7:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM",NEW to the buffet this year is fried shrimp!! You can have your choice of /fried or baked fish/Or/chicken tenders/Or/fried shrimp/along with all the fixin's! Our members can't wait to show off our renovations to our fire hall! So plan to come eat in or take out! /Also new this year we will be offering tours of the station and our trucks for kids and adults during our meal times (4-7 pm) as long as our staffing allows. /We do this every year as a fundraiser for our company and it truly is the support of our community that helps us continue to serve you! Thank you all and we look forward to seeing you Friday,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/627238044_921843643700290_7808383498072939622_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=101&ccb=1-7&_nc_sid=833d8c&_nc_ohc=Wwqe571BAUIQ7kNvwEXga3r&_nc_oc=Adm-rpMC3OHJB-MKVDX_sAK9qn2Erqx5y0q-X2g8xzmQDz1cmDYq8iXD8OPJzmkz2uoEJgDgbiF9JqrZIoLJ7y8x&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=ArH-6r9X8OVqI0QFxaveLw&oh=00_AfvV2Lfz4-7Q8EBfF37qJBDeqsPua5GMMC76fBX2K7Kgrg&oe=69968CEF,"Warriors Mark Fire Company: Friday Fish Fry
Dates: Every Friday from February 20 - March 27

Time: 4 PM - 7 PM

Service: Eat In or Take Out

Pricing
Adults: $16

Kids (6-12): $8

5 & Under: FREE

Main Entrees
Choice of one of the following, served with unlimited sides:

Baked Fish

Fried Haddock

Fried Shrimp

Chicken Tenders are also available!

Unlimited Sides
Coleslaw

Mac & Cheese

Stewed Tomatoes

French Fries

Beverages
Drinks Available for a Donation",,(814) 632-7011,,f,t,,f,,t,,40.706914,-78.119598,"[{""dt_start"": ""2026-02-20T16:00:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T16:00:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T16:00:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T16:00:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T16:00:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T16:00:00"", ""dt_end"": ""2026-03-27T19:00:00""}]"
6873,t,Hills Restaurant,Restaurant,"107 Main St, New Eagle, PA 15067",https://www.facebook.com/hillsrestaurant/,"Wednesday Feb 18 from 8:00 AM to 7:00 PM, Friday Feb 20 from 8:00 AM to 7:00 PM, Friday Feb 27 from 8:00 AM to 7:00 PM, Friday Mar 6 from 8:00 AM to 7:00 PM, Friday Mar 13 from 8:00 AM to 7:00 PM, Friday Mar 20 from 8:00 AM to 7:00 PM, Friday Mar 27 from 8:00 AM to 7:00 PM, Friday Apr 3 from 8:00 AM to 7:00 PM",,https://www.facebook.com/photo/?fbid=917146600828770&set=a.303866072156829,,,724-258-5422,,f,t,f,t,,t,,40.206987,-79.940977,"[{""dt_start"": ""2026-02-18T08:00:00"", ""dt_end"": ""2026-02-18T19:00:00""}, {""dt_start"": ""2026-02-20T08:00:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T08:00:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T08:00:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T08:00:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T08:00:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T08:00:00"", ""dt_end"": ""2026-03-27T19:00:00""}, {""dt_start"": ""2026-04-03T08:00:00"", ""dt_end"": ""2026-04-03T19:00:00""}]"
6874,t,Hookstown Volunteer Fire Department,Fire Department,"102 Silver Slipper Rd Hookstown, Pennsylvania",https://www.facebook.com/hookstownvfd/,"Friday Feb 20 from 4:30 PM to 7:00 PM, Friday Feb 27 from 4:30 PM to 7:00 PM, Friday Mar 6 from 4:30 PM to 7:00 PM, Friday Mar 13 from 4:30 PM to 7:00 PM, Friday Mar 20 from 4:30 PM to 7:00 PM, Friday Mar 27 from 4:30 PM to 7:00 PM, Friday Apr 3 from 4:30 PM to 7:00 PM",,https://www.facebook.com/photo/?fbid=1345386944282517&set=a.560506609437225,"-DINNERS
. FRIED FISH DINNER
$18.00
BAKED FISH DINNER
$18.00
SHRIMP DINNER-6 COUNT
$14.00
.CHICKEN DINNER-3 COUNT
$14.00
INFO
ALL ""DINNERS"" Come WITH 2 SIDES
-STAND ALONES
FISH SANDWICH (FRIED/BAKED)
$14.00
CHICKEN TENDERS (NO SIDES)
$8.00
SHRIMP (NO SIDES)
$10.00
FISH ON A DISH (NO BUN)
$13.00
SIDES
FRENCH FRIES
$2.00
COLESLAW
$2.00
MAC & CHEESE
$2.00
SIDE SALAD
$2.00
EXTRA BUN
$1.00
DRINKS
POP/WATER/coFree
$1.00",,(724) 573-4111,hookvfd@verizon.net,f,t,f,,,t,,40.58616,-80.475548,"[{""dt_start"": ""2026-02-20T16:30:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T16:30:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T16:30:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T16:30:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T16:30:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T16:30:00"", ""dt_end"": ""2026-03-27T19:00:00""}, {""dt_start"": ""2026-04-03T16:30:00"", ""dt_end"": ""2026-04-03T19:00:00""}]"
6875,t,Epiphany of Our Lord,Church,"44 Pennsylvania Blvd, Monessen, Pennsylvania 15062, United States",https://www.eolparish.com/,"Friday Feb 20 from 11:00 AM to 1:00 PM, Friday Feb 27 from 11:00 AM to 1:00 PM, Friday Mar 6 from 11:00 AM to 1:00 PM, Friday Mar 13 from 11:00 AM to 1:00 PM, Friday Mar 20 from 11:00 AM to 1:00 PM, Friday Mar 27 from 11:00 AM to 1:00 PM, Wednesday Feb 18 from 11:00 AM to 1:00 PM, Friday Apr 3 from 11:00 AM to 1:00 PM, Friday Feb 20 from 3:00 PM to 7:00 PM, Friday Feb 27 from 3:00 PM to 7:00 PM, Friday Mar 6 from 3:00 PM to 7:00 PM, Friday Mar 13 from 3:00 PM to 7:00 PM, Friday Mar 20 from 3:00 PM to 7:00 PM, Friday Mar 27 from 3:00 PM to 7:00 PM, Wednesday Feb 18 from 3:00 PM to 7:00 PM, Friday Apr 3 from 3:00 PM to 7:00 PM",,https://www.eolparish.com/uploads/1/7/3/9/17394071/f1shfry26amenu.pdf,"EPIPHANY OF OUR LORD CATHOLIC CHURCH
44 Pennsylvania Bivd. Monessen PA
Menu
11 a.m.-3 p.m.
All of our fish is hand braded!
Fried (Cod) Fish on a dish-$14
Fried (Cod) Fish Sandwich-$15
Fried (Cod) Fish Sandwich with Fries, Slaw and Drink-20
Haluski-$3
Perogis-$1/each includes butter & onions
Menu
3 p.m.-7 p.m.
Fish on a dich-$14
Baked Haddock or Fried Cod
Fish Sandwich-$15
Baked Haddock or Fried Cod
Shrimp-$2 ea
Pierogies $1 ea
Platter: Sandwich 2 sides drink-520
Sides
Price if purchased separate from platter
Mac & Cheese-12
Green Beans-$1.00
Frenches-$3
Apple Sauce-$1.00
Coleslaw-$2
Beverage-51.00",take out you are welcome to eat in; good Friday is drive through only,724-684-5512,,t,t,,t,t,t,,40.14213,-79.88421,"[{""dt_start"": ""2026-02-20T11:00:00"", ""dt_end"": ""2026-02-20T13:00:00""}, {""dt_start"": ""2026-02-27T11:00:00"", ""dt_end"": ""2026-02-27T13:00:00""}, {""dt_start"": ""2026-03-06T11:00:00"", ""dt_end"": ""2026-03-06T13:00:00""}, {""dt_start"": ""2026-03-13T11:00:00"", ""dt_end"": ""2026-03-13T13:00:00""}, {""dt_start"": ""2026-03-20T11:00:00"", ""dt_end"": ""2026-03-20T13:00:00""}, {""dt_start"": ""2026-03-27T11:00:00"", ""dt_end"": ""2026-03-27T13:00:00""}, {""dt_start"": ""2026-02-18T11:00:00"", ""dt_end"": ""2026-02-18T13:00:00""}, {""dt_start"": ""2026-04-03T11:00:00"", ""dt_end"": ""2026-04-03T13:00:00""}, {""dt_start"": ""2026-02-20T15:00:00"", ""dt_end"": ""2026-02-20T19:00:00""}, {""dt_start"": ""2026-02-27T15:00:00"", ""dt_end"": ""2026-02-27T19:00:00""}, {""dt_start"": ""2026-03-06T15:00:00"", ""dt_end"": ""2026-03-06T19:00:00""}, {""dt_start"": ""2026-03-13T15:00:00"", ""dt_end"": ""2026-03-13T19:00:00""}, {""dt_start"": ""2026-03-20T15:00:00"", ""dt_end"": ""2026-03-20T19:00:00""}, {""dt_start"": ""2026-03-27T15:00:00"", ""dt_end"": ""2026-03-27T19:00:00""}, {""dt_start"": ""2026-02-18T15:00:00"", ""dt_end"": ""2026-02-18T19:00:00""}, {""dt_start"": ""2026-04-03T15:00:00"", ""dt_end"": ""2026-04-03T19:00:00""}]"
6876,t,St. Titus Church (Pierogi sale only),Unsure / N/A,"952 Franklin Avenue, Aliquippa, Pennsylvania 15001, United States",https://maryqueenofsaints.org/news/lenten-fridays-pierogi-sale,"Friday Feb 20 from 12:00 PM to 6:00 PM, Friday Feb 27 from 12:00 PM to 6:00 PM, Friday Mar 6 from 12:00 PM to 6:00 PM, Friday Mar 13 from 12:00 PM to 6:00 PM, Friday Mar 20 from 12:00 PM to 6:00 PM, Friday Mar 27 from 12:00 PM to 6:00 PM, Friday Apr 3 from 3:00 PM to 6:00 PM",,,"Come, support and enjoy a fabulous food fundraiser at St. Titus Church (952 Franklin Avenue, Aliquippa) in Titan Hall, where a Homemade Pierogi Sale will take place every Friday in Lent from 12Noon to 6:00PM* and Good Friday from 3:00PM to 6:00PM*.  The price of one dozen fresh potato and cheese-filled pierogi is $11.00. Dine-in or take-out.  Frozen pierogi (to cook at home) are also available for purchase.
 
To place an advance order, call Elena at 724.378.8374 or Mary Ann at 724.888.6123 on Thursdays ONLY.  No call-in orders accepted on Fridays; only walk-in purchases.  Proceeds to benefit Mary, Queen of Saints Parish.
",,724.378.8374,,t,t,,t,,t,,40.613115,-80.2559,"[{""dt_start"": ""2026-02-20T12:00:00"", ""dt_end"": ""2026-02-20T18:00:00""}, {""dt_start"": ""2026-02-27T12:00:00"", ""dt_end"": ""2026-02-27T18:00:00""}, {""dt_start"": ""2026-03-06T12:00:00"", ""dt_end"": ""2026-03-06T18:00:00""}, {""dt_start"": ""2026-03-13T12:00:00"", ""dt_end"": ""2026-03-13T18:00:00""}, {""dt_start"": ""2026-03-20T12:00:00"", ""dt_end"": ""2026-03-20T18:00:00""}, {""dt_start"": ""2026-03-27T12:00:00"", ""dt_end"": ""2026-03-27T18:00:00""}, {""dt_start"": ""2026-04-03T15:00:00"", ""dt_end"": ""2026-04-03T18:00:00""}]"
